"RT" "z_score" "Go1" "ACC" "Trial_type" "V1" "V2" "V3" "V4" "V5" "Smoothed_VTC"
"1" 0.66711 2.0928133004512 1 1 2 1 1 48 1 0 "Out_zone"
"2" 0.57484 3.9846700594293 1 1 1 1 1 48 2 0 "Out_zone"
"3" 0.75812 0.226790935277283 1 1 2 1 1 48 1 1 "Out_zone"
"4" 0.72952 0.813190667658055 1 1 1 1 1 48 2 0 "Out_zone"
"5" 0.68339 1.75901652971137 1 1 2 1 1 48 1 0 "Out_zone"
"6" 0.69607 1.4990323126978 1 1 1 1 1 48 2 0 "Out_zone"
"7" 0.65426 2.35628311027962 1 1 2 1 1 48 2 0 "Out_zone"
"8" 0.63006 2.8524674992172 1 1 1 1 1 48 1 0 "Out_zone"
"9" 0.72535 0.898690209057627 1 1 2 1 1 48 2 0 "Out_zone"
"10" 0.77129 0.0432399904379187 1 1 1 1 1 48 1 0 "Out_zone"
"11" 0.72139 0.979884018156504 1 1 2 1 1 48 2 0 "Out_zone"
"12" 0.70482 1.31962680016872 1 1 1 1 1 48 1 0 "Out_zone"
"13" 0.75163 0.359858566855996 2 0 2 1 0 48 1 0 "Out_zone"
"14" 0.70917 1.23043663108283 1 1 1 1 1 48 2 0 "Out_zone"
"15" 0.7514 0.364574368899619 1 1 2 1 1 48 1 0 "Out_zone"
"16" 0.72166 0.974348076627035 1 1 1 1 1 48 2 0 "Out_zone"
"17" 0.80139 0.660394953537961 1 1 2 1 1 48 1 0 "Out_zone"
"18" 0.78488 0.321882380754515 1 1 1 1 1 48 2 0 "Out_zone"
"19" 0.80164 0.665520825324506 1 1 2 1 1 48 2 0 "Out_zone"
"20" 0.8017 0.666751034553275 1 1 1 1 1 48 2 1 "Out_zone"
"21" 0.80187 0.670236627368126 1 1 2 1 1 48 2 0 "Out_zone"
"22" 0.70564 1.30281394070885 1 1 1 1 1 48 2 0 "Out_zone"
"23" 0.74789 0.436541608782711 1 1 2 1 1 48 1 0 "Out_zone"
"24" 0.76009 0.186399065599306 2 1 1 0 0 48 1 0 "Out_zone"
"25" 0.77229 0.0637434775840995 1 1 2 1 1 48 2 1 "Out_zone"
"26" 0.8023 0.679053126840985 1 1 1 1 1 48 2 0 "Out_zone"
