"error.no.go.in" "error.no.go.out" "error.go.in" "error.go.out" "variable.1" "Participant"
"1" "0.108695652173913" "0.108695652173913" "0.0152284263959391" "0.0558375634517767" "RT" 1
"2" "0.130434782608696" "0.0869565217391304" "0.0126903553299492" "0.0583756345177665" "MT" 1
"3" "0.108695652173913" "0.108695652173913" "0.0203045685279188" "0.050761421319797" "Dev" 1
"4" "0.195652173913043" "0.108695652173913" "0.0431472081218274" "0.0456852791878173" "RT" 2
"5" "0.173913043478261" "0.130434782608696" "0.0203045685279188" "0.0685279187817259" "MT" 2
"6" "0.173913043478261" "0.130434782608696" "0.0253807106598985" "0.0634517766497462" "Dev" 2
"7" "0.369565217391304" "0.347826086956522" "0.0456852791878173" "0.116751269035533" "RT" 3
"8" "0.260869565217391" "0.456521739130435" "0.0431472081218274" "0.119289340101523" "MT" 3
"9" "0.304347826086957" "0.41304347826087" "0.0609137055837563" "0.101522842639594" "Dev" 3
"10" "0.152173913043478" "0.304347826086957" "0.0152284263959391" "0.0126903553299492" "RT" 4
"11" "0.239130434782609" "0.217391304347826" "0.0050761421319797" "0.0228426395939086" "MT" 4
"12" "0.152173913043478" "0.304347826086957" "0.0126903553299492" "0.0152284263959391" "Dev" 4
"13" "0.173913043478261" "0.260869565217391" "0.0710659898477157" "0.083756345177665" "RT" 5
"14" "0.239130434782609" "0.195652173913043" "0.0456852791878173" "0.109137055837563" "MT" 5
"15" "0.217391304347826" "0.217391304347826" "0.0812182741116751" "0.0736040609137056" "Dev" 5
"16" "0.391304347826087" "0.391304347826087" "0.0203045685279188" "0.0862944162436548" "RT" 6
"17" "0.41304347826087" "0.369565217391304" "0.0177664974619289" "0.0888324873096447" "MT" 6
"18" "0.369565217391304" "0.41304347826087" "0.0228426395939086" "0.083756345177665" "Dev" 6
"19" "0.239130434782609" "0.152173913043478" "0.0685279187817259" "0.124365482233503" "RT" 7
"20" "0.239130434782609" "0.152173913043478" "0.0634517766497462" "0.129441624365482" "MT" 7
"21" "0.239130434782609" "0.152173913043478" "0.109137055837563" "0.083756345177665" "Dev" 7
"22" "0.304347826086957" "0.239130434782609" "0.0380710659898477" "0.106598984771574" "RT" 8
"23" "0.347826086956522" "0.195652173913043" "0.0482233502538071" "0.0964467005076142" "MT" 8
"24" "0.347826086956522" "0.195652173913043" "0.0583756345177665" "0.0862944162436548" "Dev" 8
"25" "0.108695652173913" "0.152173913043478" "0.0431472081218274" "0.0812182741116751" "RT" 9
"26" "0.130434782608696" "0.130434782608696" "0.0532994923857868" "0.0710659898477157" "MT" 9
"27" "0.130434782608696" "0.130434782608696" "0.0406091370558376" "0.083756345177665" "Dev" 9
"28" "0.108695652173913" "0.0652173913043478" "0.00761421319796954" "0.0279187817258883" "RT" 10
"29" "0.108695652173913" "0.0652173913043478" "0.0126903553299492" "0.0228426395939086" "MT" 10
"30" "0.152173913043478" "0.0217391304347826" "0.0279187817258883" "0.00761421319796954" "Dev" 10
"31" "0.0869565217391304" "0.152173913043478" "0.0279187817258883" "0.032994923857868" "RT" 11
"32" "0.173913043478261" "0.0652173913043478" "0.0101522842639594" "0.050761421319797" "MT" 11
"33" "0.173913043478261" "0.0652173913043478" "0.0152284263959391" "0.0456852791878173" "Dev" 11
"34" "0.0434782608695652" "0.217391304347826" "0.0126903553299492" "0.0253807106598985" "RT" 12
"35" "0.0652173913043478" "0.195652173913043" "0.0253807106598985" "0.0126903553299492" "MT" 12
"36" "0.130434782608696" "0.130434782608696" "0.0126903553299492" "0.0253807106598985" "Dev" 12
"37" "0.260869565217391" "0.260869565217391" "0.0583756345177665" "0.175126903553299" "RT" 13
"38" "0.239130434782609" "0.282608695652174" "0.0761421319796954" "0.157360406091371" "MT" 13
"39" "0.239130434782609" "0.282608695652174" "0.0736040609137056" "0.15989847715736" "Dev" 13
"40" "0.0217391304347826" "0.0434782608695652" "0.0050761421319797" "0.0050761421319797" "RT" 14
"41" "0.0434782608695652" "0.0217391304347826" "0.00761421319796954" "0.00253807106598985" "MT" 14
"42" "0.0434782608695652" "0.0217391304347826" "0.00761421319796954" "0.00253807106598985" "Dev" 14
"43" "0.217391304347826" "0.173913043478261" "0.0685279187817259" "0.175126903553299" "RT" 15
"44" "0.239130434782609" "0.152173913043478" "0.0558375634517767" "0.187817258883249" "MT" 15
"45" "0.217391304347826" "0.173913043478261" "0.116751269035533" "0.126903553299492" "Dev" 15
"46" "0.130434782608696" "0.217391304347826" "0.0989847715736041" "0.114213197969543" "RT" 16
"47" "0.173913043478261" "0.173913043478261" "0.0862944162436548" "0.126903553299492" "MT" 16
"48" "0.239130434782609" "0.108695652173913" "0.101522842639594" "0.111675126903553" "Dev" 16
"49" "0.152173913043478" "0.108695652173913" "0.101522842639594" "0.248730964467005" "RT" 17
"50" "0.152173913043478" "0.108695652173913" "0.111675126903553" "0.238578680203046" "MT" 17
"51" "0.173913043478261" "0.0869565217391304" "0.119289340101523" "0.230964467005076" "Dev" 17
"52" "0.173913043478261" "0.0434782608695652" "0.0253807106598985" "0.0939086294416244" "RT" 18
"53" "0.130434782608696" "0.0869565217391304" "0.0228426395939086" "0.0964467005076142" "MT" 18
"54" "0.130434782608696" "0.0869565217391304" "0.0609137055837563" "0.0583756345177665" "Dev" 18
"55" "0.130434782608696" "0.217391304347826" "0.0482233502538071" "0.119289340101523" "RT" 20
"56" "0.0869565217391304" "0.260869565217391" "0.0380710659898477" "0.129441624365482" "MT" 20
"57" "0.195652173913043" "0.152173913043478" "0.0532994923857868" "0.114213197969543" "Dev" 20
"58" "0.195652173913043" "0.282608695652174" "0.0126903553299492" "0.0456852791878173" "RT" 22
"59" "0.260869565217391" "0.217391304347826" "0.0101522842639594" "0.0482233502538071" "MT" 22
"60" "0.217391304347826" "0.260869565217391" "0.0304568527918782" "0.0279187817258883" "Dev" 22
"61" "0.108695652173913" "0.0652173913043478" "0.0862944162436548" "0.147208121827411" "RT" 23
"62" "0.108695652173913" "0.0652173913043478" "0.0736040609137056" "0.15989847715736" "MT" 23
"63" "0.130434782608696" "0.0434782608695652" "0.106598984771574" "0.126903553299492" "Dev" 23
"64" "0.239130434782609" "0.0869565217391304" "0.106598984771574" "0.230964467005076" "RT" 24
"65" "0.239130434782609" "0.0869565217391304" "0.0913705583756345" "0.246192893401015" "MT" 24
"66" "0.239130434782609" "0.0869565217391304" "0.129441624365482" "0.208121827411168" "Dev" 24
"67" "0.152173913043478" "0.0652173913043478" "0.0532994923857868" "0.126903553299492" "RT" 25
"68" "0.173913043478261" "0.0434782608695652" "0.065989847715736" "0.114213197969543" "MT" 25
"69" "0.108695652173913" "0.108695652173913" "0.0786802030456853" "0.101522842639594" "Dev" 25
"70" "0.217391304347826" "0.282608695652174" "0.0583756345177665" "0.104060913705584" "RT" 26
"71" "0.239130434782609" "0.260869565217391" "0.0431472081218274" "0.119289340101523" "MT" 26
"72" "0.282608695652174" "0.217391304347826" "0.0456852791878173" "0.116751269035533" "Dev" 26
"73" "0.391304347826087" "0.282608695652174" "0.0279187817258883" "0.0939086294416244" "RT" 27
"74" "0.304347826086957" "0.369565217391304" "0.0177664974619289" "0.104060913705584" "MT" 27
"75" "0.304347826086957" "0.369565217391304" "0.0406091370558376" "0.0812182741116751" "Dev" 27
"76" "0.326086956521739" "0.282608695652174" "0.0304568527918782" "0.0786802030456853" "RT" 28
"77" "0.326086956521739" "0.282608695652174" "0.0177664974619289" "0.0913705583756345" "MT" 28
"78" "0.239130434782609" "0.369565217391304" "0.0532994923857868" "0.0558375634517767" "Dev" 28
"79" "0.195652173913043" "0.108695652173913" "0.246192893401015" "0.411167512690355" "RT" 29
"80" "0.195652173913043" "0.108695652173913" "0.269035532994924" "0.388324873096447" "MT" 29
"81" "0.195652173913043" "0.108695652173913" "0.299492385786802" "0.357868020304569" "Dev" 29
"82" "0.173913043478261" "0.369565217391304" "0.15989847715736" "0.0939086294416244" "RT" 30
"83" "0.41304347826087" "0.130434782608696" "0.0609137055837563" "0.192893401015228" "MT" 30
"84" "0.456521739130435" "0.0869565217391304" "0.0609137055837563" "0.192893401015228" "Dev" 30
"85" "0.282608695652174" "0.260869565217391" "0.0203045685279188" "0.0786802030456853" "RT" 31
"86" "0.282608695652174" "0.260869565217391" "0.0203045685279188" "0.0786802030456853" "MT" 31
"87" "0.195652173913043" "0.347826086956522" "0.0380710659898477" "0.0609137055837563" "Dev" 31
"88" "0.217391304347826" "0.195652173913043" "0.050761421319797" "0.0786802030456853" "RT" 32
"89" "0.173913043478261" "0.239130434782609" "0.0558375634517767" "0.0736040609137056" "MT" 32
"90" "0.260869565217391" "0.152173913043478" "0.0482233502538071" "0.0812182741116751" "Dev" 32
"91" "0.217391304347826" "0.108695652173913" "0.121827411167513" "0.187817258883249" "RT" 33
"92" "0.195652173913043" "0.130434782608696" "0.139593908629442" "0.17005076142132" "MT" 33
"93" "0.0869565217391304" "0.239130434782609" "0.15989847715736" "0.149746192893401" "Dev" 33
"94" "0.260869565217391" "0.152173913043478" "0.101522842639594" "0.175126903553299" "RT" 34
"95" "0.173913043478261" "0.239130434782609" "0.0888324873096447" "0.187817258883249" "MT" 34
"96" "0.217391304347826" "0.195652173913043" "0.114213197969543" "0.16243654822335" "Dev" 34
"97" "0.41304347826087" "0.239130434782609" "0.0482233502538071" "0.246192893401015" "RT" 35
"98" "0.41304347826087" "0.239130434782609" "0.0380710659898477" "0.256345177664975" "MT" 35
"99" "0.260869565217391" "0.391304347826087" "0.0685279187817259" "0.225888324873096" "Dev" 35
"100" "0.260869565217391" "0.347826086956522" "0.0253807106598985" "0.0532994923857868" "RT" 36
"101" "0.282608695652174" "0.326086956521739" "0.0253807106598985" "0.0532994923857868" "MT" 36
"102" "0.282608695652174" "0.326086956521739" "0.0380710659898477" "0.0406091370558376" "Dev" 36
"103" "0.217391304347826" "0.108695652173913" "0.0609137055837563" "0.121827411167513" "RT" 37
"104" "0.217391304347826" "0.108695652173913" "0.0380710659898477" "0.144670050761421" "MT" 37
"105" "0.195652173913043" "0.130434782608696" "0.0888324873096447" "0.0939086294416244" "Dev" 37
"106" "0.173913043478261" "0.130434782608696" "0.0786802030456853" "0.208121827411168" "RT" 38
"107" "0.152173913043478" "0.152173913043478" "0.101522842639594" "0.185279187817259" "MT" 38
"108" "0.195652173913043" "0.108695652173913" "0.154822335025381" "0.131979695431472" "Dev" 38
"109" "0.173913043478261" "0.130434782608696" "0.0786802030456853" "0.208121827411168" "RT" 39
"110" "0.152173913043478" "0.152173913043478" "0.101522842639594" "0.185279187817259" "MT" 39
